id,enimi,pnimi,email,amark,amudel,aaasta,ahind
1,Ramon,Norgate,rnorgate0@google.com.au,Hummer,H1,2003,666494.33
2,Hadley,Dulany,hdulany1@howstuffworks.com,Ford,Mustang,1995,195672.06
3,Mathian,Kift,mkift2@intel.com,Lincoln,LS,2006,34614.84
4,Derrek,Corday,dcorday3@utexas.edu,Ford,Expedition,1997,107551.8
5,Worden,Wann,wwann4@4shared.com,Hyundai,Sonata,1998,628889.76
6,Tonie,MacCallum,tmaccallum5@blog.com,Nissan,370Z,2009,159731.22
7,Price,Batcock,pbatcock6@ebay.co.uk,GMC,2500 Club Coupe,1994,752084.8
8,Mervin,Thornally,mthornally7@theatlantic.com,Maybach,62,2006,876309.5
9,Millard,Loftie,mloftie8@businessweek.com,GMC,Envoy XL,2002,506007.61
10,Clem,Howels,chowels9@odnoklassniki.ru,Volkswagen,Passat,1988,460249.57
11,Emyle,Clausen,eclausena@surveymonkey.com,Audi,A4,2007,864342.6
12,Cristie,Carlaw,ccarlawb@twitter.com,Buick,Riviera,1986,563353.1
13,Ardenia,Rack,arackc@geocities.jp,Toyota,T100,1993,878908.39
14,Annabelle,Petruskevich,apetruskevichd@lycos.com,Audi,S6,2009,312075.54
15,Mathilde,Paramor,mparamore@wiley.com,Scion,tC,2007,228254.06
16,Gaelan,Cunniam,gcunniamf@samsung.com,Cadillac,Eldorado,2000,224813.09
17,Markus,Adamolli,madamollig@blogtalkradio.com,Audi,A6,2001,14125.77
18,Carol,Edgehill,cedgehillh@ted.com,Dodge,Ram,2007,480061.47
19,Dione,Kimm,dkimmi@mit.edu,Cadillac,XLR,2007,213371.54
20,Cirilo,Kilban,ckilbanj@bing.com,Audi,A8,2002,695654.27
21,Enrica,Elam,eelamk@liveinternet.ru,Suzuki,Swift,1994,264998.38
22,Jule,Candlin,jcandlinl@xinhuanet.com,Mazda,CX-7,2007,728777.2
23,Sascha,Seagrave,sseagravem@cyberchimps.com,Lexus,SC,1999,807745.32
24,Lianne,Scanterbury,lscanterburyn@state.gov,Subaru,Legacy,1999,64607.19
25,Cece,Lyford,clyfordo@newsvine.com,Lincoln,Navigator,1999,711239.38
26,Tracey,Denkel,tdenkelp@opensource.org,GMC,Savana 3500,1996,337261.36
27,Orella,Roose,orooseq@cargocollective.com,Mercury,Villager,1994,120174.71
28,Hakeem,Lensch,hlenschr@creativecommons.org,GMC,Sierra 3500,2009,81783.75
29,Adda,Laux,alauxs@yahoo.com,Volvo,XC90,2011,989285.78
30,Robby,Lodwig,rlodwigt@skyrock.com,Mazda,Miata MX-5,2012,335942.2
